date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-03-08,16271.89602701852,0.0,16271.89602701852,17179.55316664339,16736.669225005848,19063.139516666663,442.8839416375413,-464.7731979873279,春季,False
2025-03-09,45844.42958665829,8.547820229409809e-13,45844.42958665829,47238.755798650185,44936.99721809855,63333.52505,2301.7585805516355,907.432368559741,春季,False
2025-03-10,43676.42971782901,4095.617461814541,47772.047179643545,47210.76938665574,45664.99676219142,68042.07144999999,1545.77262446432,2107.0504174521266,春季,False
2025-03-11,38988.5651471592,29129.017049342965,68117.58219650216,61483.30633405916,44804.33976422797,63938.91879999999,16678.966569831195,23313.242432274194,春季,False
2025-03-12,44584.33572536264,162.26612923611424,44746.60185459875,45792.94689128716,44409.854008966926,62435.53468333333,1383.092882320234,336.74784563182766,春季,False
2025-03-13,44932.0205576544,785.5877759506462,45717.60833360504,45817.921343163805,46315.50856430691,67545.61801666666,-497.5872211431051,-597.9002307018673,春季,False
2025-03-14,15594.736398547408,851.173042952155,16445.909441499563,16839.852655133276,16704.632876715023,16029.425983333334,135.21977841825355,-258.7234352154592,春季,False
2025-03-15,15077.686240540426,3042.49308940872,18120.179329949147,17316.62223838779,16456.23790727849,20924.12515,860.3843311093005,1663.9414226706576,春季,False
2025-03-16,43450.71881790036,5.068656605544676e-14,43450.71881790036,44293.08322641033,44350.84513540743,63351.04693333333,-57.761908997097635,-900.1263175070708,春季,False
2025-03-17,39529.9572947976,1665.6567558124802,41195.61405061008,40694.99094976479,41643.84880879091,57858.13143333333,-948.8578590261241,-448.23475818083534,春季,False
2025-03-18,46094.65816657577,1.7692241005562438e-12,46094.65816657577,47125.889572941705,44278.14396315917,61125.958366666666,2847.7456097825343,1816.5142034165983,春季,False
2025-03-19,37434.97088586897,16194.84252914405,53629.81341501302,47974.64570726654,42291.27361795695,59465.47044999999,5683.372089309596,11338.539797056073,春季,False
2025-03-20,43959.73572811548,1687.9490954141593,45647.68482352964,45527.53572207716,45196.36536184179,62208.96181666666,331.17036023537366,451.3194616878536,春季,False
2025-03-21,15020.617459453471,861.2570696349904,15881.874529088462,15923.323307636254,15260.652729454723,12033.464516666669,662.6705781815308,621.2217996337386,春季,False
2025-03-22,15669.25100999717,3.053060027013999e-13,15669.25100999717,16576.98182518869,15887.386137909803,15881.199733333331,689.5956872788865,-218.13512791263383,春季,False
2025-03-23,44841.45191594947,1.887530132194115e-13,44841.45191594947,44341.8009222721,42322.76088861119,58769.72011666666,2019.040033660909,2518.6910273382746,春季,False
2025-03-24,40041.01166021829,0.0,40041.01166021829,41474.09700093762,43389.33660779039,57998.497083333335,-1915.2396068527742,-3348.3249475721022,春季,False
2025-03-25,44991.67825910331,112.8598189150176,45104.538078018326,46461.3474224484,44179.86570412198,60950.124716666665,2281.481718326424,924.6723738963483,春季,False
2025-03-26,37793.92680422218,7.741363106106292e-13,37793.92680422218,40927.50183739595,39137.983425065926,55592.55486666666,1789.5184123300205,-1344.056620843745,春季,False
2025-03-27,40060.735741456025,8.911436033542942e-13,40060.735741456025,42450.04122144134,42030.667801593205,58716.98939999999,419.37341984813247,-1969.93206013718,春季,False
2025-03-28,14965.559481697312,2.0703216918605001e-13,14965.559481697312,15939.182788958937,15440.263706355569,10821.880766666663,498.9190826033682,-474.70422465825686,春季,False
2025-03-29,14176.023514221835,2635.195783810218,16811.219298032054,17107.833727182675,15314.536920102575,7707.209183333331,1793.2968070800998,1496.6823779294791,春季,False
2025-03-30,39273.71086735903,3.256737102219631e-13,39273.71086735903,41387.30855965003,39211.32619500579,55345.6197,2175.9823646442383,62.38467235323333,春季,False
2025-03-31,34497.68775966328,25205.4771537127,59703.16491337598,46746.481515146486,39001.96594934184,56951.38948333333,7744.51556580465,20701.19896403414,春季,False
2025-04-01,40885.201757762174,2432.2708075595283,43317.4725653217,43369.33969300748,41649.71498699183,60208.85151666666,1719.624706015653,1667.7575783298744,春季,False
2025-04-02,38432.52963092491,8321.662742023731,46754.19237294864,41594.93952388588,41250.62270569421,60435.3354,344.3168181916699,5503.569667254429,春季,False
2025-04-03,40408.90677197139,136.62668478896518,40545.53345676036,42886.73570507441,40467.46164504444,55863.53026666667,2419.274060029973,78.07181171591947,春季,False
2025-04-04,14184.496580834852,0.0,14184.496580834852,14799.119716440797,14421.873085161102,6430.802249999999,377.24663127969507,-237.37650432625014,春季,False
2025-04-05,13572.114901467656,968.9202124094504,14541.035113877106,15217.647832902314,14360.170301457309,12044.114983333337,857.4775314450053,180.8648124197971,春季,False
2025-04-06,37003.599130062816,328.5636802481244,37332.16281031094,39447.403839982784,39178.19520418617,54410.076266666656,269.2086357966109,-1846.0323938752335,春季,False
2025-04-07,33430.633795492955,10117.954098375509,43548.58789386846,37694.96940733242,37040.1733253773,53242.719283333325,654.7960819551226,6508.414568491164,春季,False
2025-04-08,39684.57150278983,1491.3217376378611,41175.893240427686,40623.57727006007,38711.71011546019,54353.19361666666,1911.8671545998805,2464.183124967494,春季,False
2025-04-09,38633.12825797139,3.4867583820208384e-13,38633.12825797139,39365.73633531339,39916.00435830688,59134.31101666667,-550.2680229934849,-1282.8761003354884,春季,False
2025-04-10,37803.16458571311,6.373350736055271e-13,37803.16458571311,38819.40731552818,38077.97192413772,54460.6379,741.4353913904633,-274.80733842460904,春季,False
2025-04-11,12980.821691477884,1723.5924831283105,14704.414174606194,15798.83748919546,14477.976298094449,5316.650166666667,1320.861191101012,226.43787651174534,春季,False
2025-04-12,14464.479661375452,3.3539038213348253e-13,14464.479661375452,14824.01786970585,14225.745913488598,9025.16055,598.2719562172533,238.73374788685396,春季,False
2025-04-13,35071.56546463922,193.1697826466325,35264.735247285855,36659.59606257414,37027.25632020409,54276.35848333333,-367.6602576299483,-1762.5210729182363,春季,False
2025-04-14,37871.16728997486,0.0,37871.16728997486,39480.875959699566,37453.338133444006,52528.0318,2027.5378262555605,417.82915653085365,春季,False
2025-04-15,32158.719863512084,7097.138237081689,39255.858100593774,39576.83470673434,35154.846169304124,50139.42883333333,4421.988537430218,4101.0119312896495,春季,False
2025-04-16,35938.44312442705,32.76950103460953,35971.21262546166,38547.14296323738,37966.99851649573,55779.59194999999,580.1444467416441,-1995.7858910340728,春季,False
2025-04-17,33782.779371145654,12820.284803335491,46603.06417448114,42254.315701738335,36170.07944108511,52868.34235,6084.236260653226,10432.984733396028,春季,False
