date,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh
2025-06-25,54498.28447900568,51275.47893347189,70437.42136666666
2025-06-26,46602.65380458782,48989.238409044665,67547.38383333333
2025-06-27,21227.45907649875,20595.123508027544,19771.645866666666
2025-06-28,20103.107523166982,19773.6608034791,21776.926116666662
2025-06-29,56891.29609012201,50011.07840261619,69267.76853333334
2025-06-30,48842.61352372629,49444.61989753514,69877.68398333332
2025-07-01,121093.6088923455,71418.43224498499,78866.54403333332
2025-07-02,87556.6345430781,62991.06469072233,72904.76636666666
2025-07-03,70670.19576487508,59710.658157453734,79760.41893333333
2025-07-04,56944.48773623573,46946.040317102576,28880.867466666663
2025-07-05,49714.27495760925,39155.05219868903,28790.079966666668
2025-07-06,85025.91000771368,59046.17459168325,79793.98155
2025-07-07,52622.91901735347,53889.21621710001,73409.48276666665
2025-07-08,55000.3354082055,55514.39523343973,75571.38701666666
2025-07-09,55077.243283810734,54756.03860582228,74058.72501666666
2025-07-10,50788.78925085066,52008.156567506776,72853.62338333332
2025-07-11,35072.658784782194,32010.22042821501,32518.77715
2025-07-12,31161.488724852763,27277.25427079881,31084.243333333332
2025-07-13,54954.84450882696,52771.53280300946,69267.7204
2025-07-14,51141.739036564664,52437.117603367216,71807.67921666667
2025-07-15,52581.54169134625,52131.812769153265,72749.05058333333
2025-07-16,51852.324864238035,52268.47887317393,72134.56338333333
2025-07-17,55916.843677131365,52895.10933410698,72720.41606666666
2025-07-18,27463.30519764604,26705.186425650943,31274.248099999997
2025-07-19,27488.047286182373,26683.273832861218,27182.81905
2025-07-20,52874.82224014619,53444.057502871234,72089.97821666666
2025-07-21,53272.590574723145,53676.69087072211,73989.74935
2025-07-22,50980.42468463883,53542.24280188373,73795.14461666666
2025-07-23,57485.23362378075,55148.29579109634,74216.54711666665
2025-07-24,56880.136449933045,54975.4361195288,73616.47200000001
2025-07-25,25717.50166086004,25431.86462743174,26505.319566666665
2025-07-26,24936.877638261056,25362.83702450477,28469.091566666666
2025-07-27,60779.68803033666,53872.9907333726,73685.1898
2025-07-28,53545.20537400948,55082.8278708185,77954.87723333333
2025-07-29,53233.54302183544,55603.69836939994,76069.24595
2025-07-30,78259.8608415042,55221.46996986448,74103.25404999999
2025-07-31,62978.131604978975,53769.415727941196,74694.99626666665
2025-08-01,25526.484794112017,25091.389130805568,21251.359666666664
2025-08-02,25873.57280362841,25393.979299313294,20927.02493333333
2025-08-03,44619.21592671802,45081.174840614614,62839.47998333334
2025-08-04,47467.89550383559,48470.79828767536,65415.65508333333
2025-08-05,46109.33220902765,47500.14005895738,65152.30973333333
2025-08-06,51216.62538963175,50465.95584439498,68114.39926666666
2025-08-07,50470.97878480834,49765.261686159225,63387.98525
2025-08-08,24631.585530557488,24560.531939918143,15775.17125
2025-08-09,24650.175648040648,24420.72896560229,18921.929
2025-08-10,48050.93818346533,47586.69750024267,65304.619049999994
2025-08-11,48872.8203613816,47981.51789362876,64561.25333333333
2025-08-12,49831.663590207245,50239.131319343775,67760.54365
2025-08-13,46595.75296413918,47609.152887841825,66120.97945
2025-08-14,46883.30684298441,48990.52830178005,65926.29098333334
2025-08-15,25369.547164993895,24545.256658736253,17159.72688333333
2025-08-16,27295.180613447905,24926.15833568045,16929.280366666666
2025-08-17,48331.50713499733,48426.13841407628,63165.39361666667
2025-08-18,47667.14246929879,47308.33179954734,64394.11561666666
2025-08-19,47477.78165837613,47686.30253760521,64317.66005
2025-08-20,50768.37278269434,51054.32385433325,70650.69106666667
2025-08-21,48367.084310689825,47635.719776992,65844.41848333333
2025-08-22,26283.877810934897,24412.81925782493,21230.569399999997
2025-08-23,25703.80928886741,24983.802731692813,22530.00615
2025-08-24,46764.889184982756,47096.78794169759,63733.58948333333
2025-08-25,59906.26106438489,55101.2664877355,70773.08701666666
2025-08-26,47314.06312493669,48094.04074209255,65528.81838333333
2025-08-27,51837.08096764968,51034.630066268524,67914.14886666666
2025-08-28,65077.63379915964,51792.784360562335,70767.79498333333
2025-08-29,26421.226316803917,25687.32725843816,22555.220350000003
2025-08-30,25628.812120375856,24881.538449684398,18512.71983333333
2025-08-31,46902.86727178162,47742.675071876074,66646.62308333332
2025-09-01,51614.79195816444,49236.5791503936,53574.13453333333
2025-09-02,43676.88763624683,45121.36741936304,54057.755849999994
2025-09-03,44510.872134995254,43556.10193137956,55547.71725
2025-09-04,41696.4823299655,40820.39277293302,53925.56554999999
2025-09-05,25814.178850068645,24556.30003530556,6824.261666666666
2025-09-06,23455.81773346417,21916.130089124657,7721.083699999998
2025-09-07,38554.97680987506,38977.51861452852,54960.98361666666
2025-09-08,43015.59845371488,42722.376592675784,59395.569533333335
2025-09-09,45233.228939948254,38845.5665753653,53102.834266666665
2025-09-10,43915.90099340421,45273.78804877694,61315.998649999994
2025-09-11,42910.373406631,40789.92372289109,53496.08578333333
2025-09-12,22330.04928309939,21920.667614829934,11551.656200000001
2025-09-13,20330.816057206594,19254.94007637778,8007.101483333332
2025-09-14,46225.855443795095,43485.64192838496,60099.32475
2025-09-15,41029.87416167063,41616.6313220926,55067.03063333333
2025-09-16,45310.6262128083,43145.793053603426,59491.76998333333
2025-09-17,43732.18466700045,42662.72033076628,59960.1184
2025-09-18,51654.61075848489,43593.494235008206,58956.05111666666
2025-09-19,19616.482672609993,18732.614237083726,16101.352316666667
2025-09-20,19236.365441128943,18571.437538138394,15645.433733333331
2025-09-21,42997.04521819823,42245.691048209104,58287.48748333333
2025-09-22,46332.24668153374,44677.3075729144,60614.01988333333
2025-09-23,44941.96251973331,44239.81200601747,62116.615583333325
2025-09-24,56168.185750993696,43792.35752605809,61063.225099999996
2025-09-25,43132.20154819332,44707.16834751772,60335.448899999996
2025-09-26,19898.762369015916,18780.078754751044,17694.243499999997
2025-09-27,21109.168248330083,19142.715611777436,17801.30225
2025-09-28,43064.17093139519,45998.28647308839,63487.62916666666
2025-09-29,45664.46262392693,49132.75784146135,62759.89159999999
2025-09-30,49417.076756016046,48291.9388534728,65422.17476666667
2025-10-01,41884.94665248075,40756.104482566414,49661.52153333333
2025-10-02,45778.20348978772,41770.618305657736,51730.78311666666
2025-10-03,18503.70744493021,17811.440045097846,7817.1537
2025-10-04,18741.884602691134,17357.82669255308,13095.982433333334
2025-10-05,44148.64426436206,41361.635208735555,54735.96106666667
2025-10-06,50462.896425712315,40172.44658326173,57733.109249999994
2025-10-07,40907.113838136465,40102.36609070636,57771.562999999995
2025-10-08,38721.83593981144,39243.46817784397,56478.49566666666
2025-10-09,44180.56316147871,43973.48527692306,55759.98168333333
2025-10-10,18398.69538632741,17862.837142007174,9343.610916666667
2025-10-11,17661.5466619782,17011.120249715314,14106.313583333333
2025-10-12,42350.048375574195,40429.39481551682,58514.95598333333
2025-10-13,43303.60465879179,40925.26322365922,57027.39529999999
2025-10-14,46956.76920290482,44662.778384754725,60773.82928333333
2025-10-15,45622.580743911836,44102.28131139286,61920.023649999996
2025-10-16,44948.117415456465,43649.3916124992,62966.472949999996
2025-10-17,19190.871982353256,16761.510704529548,16004.199316666665
2025-10-18,18006.91027392029,17381.230640787817,16076.593266666663
2025-10-19,44506.81804338921,43813.022492632546,63885.72253333332
2025-10-20,47499.03205345794,46017.63123352762,64440.782366666666
2025-10-21,48401.20850321956,46351.7670163623,66462.58135
2025-10-22,44869.96190201983,45084.102266070215,65554.8967
2025-10-23,51494.42013018636,48708.48559051942,63379.497033333326
2025-10-24,18578.176514100156,17334.31114186799,18420.050716666665
2025-10-25,17918.013403368277,17637.824092483337,19398.43273333333
2025-10-26,47599.94822011019,47219.89684301896,64544.31201666666
2025-10-27,45690.681874323884,45920.99513560879,63552.581666666665
2025-10-28,50582.80297289364,46603.775330361575,65972.42169999999
2025-10-29,48544.94234785386,48134.628259346,69312.2568
2025-10-30,48428.87254789768,45575.59237386184,64787.81765
2025-10-31,18998.58661723603,18245.17940035028,23904.29206666666
2025-11-01,18332.660423662608,18099.591793112002,22544.038433333328
2025-11-02,49090.49540991643,48761.25460656519,68796.38393333333
2025-11-03,49873.62341090951,48656.98909448627,69504.93028333332
2025-11-04,46529.704960312345,47118.65338079534,67580.07203333333
2025-11-05,51769.37890314615,50564.3969866304,69678.02006666666
2025-11-06,50302.8212760288,49917.530882250365,71369.58455
2025-11-07,19428.078822655803,18663.84092989891,23318.461783333332
2025-11-08,18630.960158921625,18423.03036602851,23791.2071
2025-11-09,49938.22847495531,49631.968408953515,71346.81718333333
2025-11-10,50615.20996703907,52058.96117444628,73858.4431
2025-11-11,52592.5285685103,50976.11193822563,71559.01966666666
2025-11-12,50031.8614027966,51099.01335525294,70955.98775
2025-11-13,58231.43895887962,50492.58540059605,72395.87131666666
2025-11-14,18983.7554431487,18723.726217874344,27598.4553
2025-11-15,20010.702390665858,19490.78986241251,28211.886916666666
2025-11-16,50600.10767243401,52507.736745778115,74434.54438333333
2025-11-17,55601.87611287254,53065.7793050642,72695.75433333333
2025-11-18,50628.90550998437,51526.64299891785,74890.55183333333
2025-11-19,53596.31481861898,54166.732596968715,75368.31159999999
2025-11-20,54002.16017282903,52538.76686957705,74793.07603333332
2025-11-21,19322.591913057044,19433.211434673296,28864.384066666666
2025-11-22,20438.478544248173,20343.170800486416,30219.829483333335
2025-11-23,53415.619926267376,53062.01087569155,75232.09628333333
2025-11-24,50820.709768043926,51525.93489553999,74161.9437
2025-11-25,57878.422921851205,55403.65607128026,76168.66046666667
2025-11-26,54095.68776405501,54900.63269144729,76757.66688333332
2025-11-27,52343.068797801054,53649.27791954076,75780.89273333333
2025-11-28,20110.960377412626,19642.27435626241,30921.238550000002
2025-11-29,23966.381012992846,22608.171261873034,34929.4501
2025-11-30,56652.148126832086,56310.037697183376,80244.82811666666
2025-12-01,73024.71630634894,70226.22550917865,86298.92773333333
2025-12-02,70469.115277291,66394.32279363414,88637.80995
2025-12-03,84914.63417898671,63090.68024881829,87162.74856666666
2025-12-04,67755.55723650046,62916.005736378975,86771.20874999999
2025-12-05,46451.81108485564,32462.02671776987,41311.627683333325
2025-12-06,36191.12635088012,29727.926661929658,43664.630816666664
2025-12-07,64771.025395794284,63112.40087689841,87652.68125
2025-12-08,64453.57899482066,63774.09304602435,87847.21111666667
2025-12-09,63632.89514878908,62476.78032247895,87388.45426666667
2025-12-10,62522.83511545615,63030.6495863696,88387.61846666665
2025-12-11,62967.75898706223,61494.70897153508,85961.25469999999
2025-12-12,35344.341096397235,27368.288519627975,43714.41348333333
2025-12-13,26040.79343626286,26226.64799770193,43798.53338333333
2025-12-14,68369.16464737579,63700.577620907796,88778.7218
2025-12-15,70814.0888473526,63873.76119488892,89469.55796666665
2025-12-16,63454.13551309885,62729.33491676157,89418.09133333333
2025-12-17,63746.040217003014,62326.49853710299,88191.84706666667
2025-12-18,60985.419759620134,61770.10398808643,87366.26696666666
2025-12-19,27128.149650686515,26391.733969353216,42908.391299999996
2025-12-20,26387.430920512015,25819.642070594364,42856.352249999996
2025-12-21,62512.125238022345,63352.284932720526,89037.78186666666
2025-12-22,61565.96441886099,62002.65347140169,88937.42708333333
2025-12-23,62940.32417719564,61869.70490709708,87258.09253333331
2025-12-24,62569.5130653868,62157.557028742034,87854.55931666667
2025-12-25,63991.10846187039,62147.589476700865,87812.44853333334
2025-12-26,26874.22140609254,25799.0139864294,43007.62243333333
2025-12-27,25630.7251436482,26030.999691250698,43338.80906666666
2025-12-28,61594.544857649395,61384.70641128882,86809.25475000001
2025-12-29,60174.63747755041,62297.87628717018,87523.76626666667
2025-12-30,62094.26850318286,61140.3772388408,86224.4026
2025-12-31,60048.49001298375,64497.208990667605,88646.42293333334
