date,q2_plan_cost,q2_emergency_cost,q2_total_cost
2025-09-04,40868.390082486774,58.84340114583389,40927.233483632604
2025-09-05,24033.379180228647,3.8532732560270236e-13,24033.379180228647
2025-09-06,20262.62404841696,1.0182077403442234e-12,20262.62404841696
2025-09-07,35219.065977074184,1538.2133015838112,36757.279278657996
2025-09-08,42091.96444779801,233.1189076191055,42325.08335541712
2025-09-09,36535.153147881276,8099.758430762578,44634.911578643856
2025-09-10,42857.07769321007,821.3127254546739,43678.39041866474
2025-09-11,42579.106128349995,99.62553423515693,42678.73166258515
2025-09-12,21125.98370493153,3.5655034480441827e-13,21125.98370493153
2025-09-13,18038.256577750122,7.970477611252135e-13,18038.256577750122
2025-09-14,45213.52809563525,374.7579725398031,45588.28606817505
2025-09-15,38512.25961703432,7.893606150000556,38520.153223184316
2025-09-16,45500.50478711523,1767.078202416481,47267.58298953171
2025-09-17,43949.05863142752,34.70889375000088,43983.76752517752
2025-09-18,39188.157397135394,8669.865120138991,47858.02251727438
2025-09-19,17486.337347085537,4046.9507132901626,21533.2880603757
2025-09-20,17105.797058330587,3844.3824514750986,20950.179509805686
2025-09-21,43598.33890281136,1.3008616406295913e-12,43598.33890281136
2025-09-22,46498.85528541201,36.60771285000143,46535.46299826202
2025-09-23,45031.71437800086,298.50348161916645,45330.21785962003
2025-09-24,39465.28392338393,18226.35541766998,57691.63934105392
2025-09-25,43932.58189106673,103.49743166666677,44036.0793227334
2025-09-26,18275.97958328284,3.5376501728023866e-13,18275.97958328284
2025-09-27,17122.552520558893,8907.833031071512,26030.385551630403
2025-09-28,44083.71872687075,1690.0628653968795,45773.78159226763
2025-09-29,46532.22641939215,134.73625666666732,46666.96267605882
2025-09-30,45726.90234809633,3506.234542879344,49233.13689097567
2025-10-01,41324.24293628176,3.808509063674137e-13,41324.24293628176
2025-10-02,44500.70457942152,1.3487717609450557e-12,44500.70457942152
2025-10-03,15997.013004344677,3.5608405113407573e-13,15997.013004344677
2025-10-04,16343.079548112348,1.1897327567567117e-13,16343.079548112348
2025-10-05,43609.114349652984,4.490701144277409e-13,43609.114349652984
2025-10-06,36757.21045901198,10248.091867942147,47005.30232695412
2025-10-07,38128.54699722372,5481.409981845512,43609.95697906923
2025-10-08,37588.48887784687,668.2418413171295,38256.730719164
2025-10-09,44072.077006362895,250.9325181125793,44323.00952447548
2025-10-10,16887.228968821473,0.0,16887.228968821473
2025-10-11,16074.756365803158,361.0329690057267,16435.789334808884
2025-10-12,39685.918991064216,2868.437859860401,42554.35685092462
2025-10-13,40660.03858580904,1342.558731609004,42002.59731741804
2025-10-14,42975.579349692496,2396.787272469625,45372.366622162124
2025-10-15,45191.34859362489,1.0108874848313575e-13,45191.34859362489
2025-10-16,42744.16107521221,1.0848850706679514e-12,42744.16107521221
2025-10-17,14771.851598594658,8047.510556497846,22819.3621550925
2025-10-18,17758.65475251995,0.0,17758.65475251995
2025-10-19,43745.320403097765,128.05342590529273,43873.37382900306
2025-10-20,46527.69780801758,186.37769119250328,46714.075499210085
2025-10-21,44685.26941807668,1.1598899618547877e-13,44685.26941807668
2025-10-22,43200.42191288444,7225.809905006012,50426.23181789045
2025-10-23,49556.96618382512,2726.812770098429,52283.778953923545
2025-10-24,17220.58986927317,521.9509347502786,17742.54080402345
2025-10-25,18008.298550574873,306.48980182082664,18314.7883523957
2025-10-26,46203.222547626174,2273.693541874637,48476.91608950081
2025-10-27,41986.96820928227,7649.907902316799,49636.87611159907
2025-10-28,42546.71750618649,15140.071833593021,57686.78933977951
2025-10-29,47438.015486163495,1123.8552422781288,48561.87072844162
2025-10-30,42193.89985095046,11462.37195941693,53656.27181036739
2025-10-31,18937.413925119603,1.4124879044175033e-13,18937.413925119603
2025-11-01,17948.357582718665,0.0,17948.357582718665
2025-11-02,47043.101017929934,825.6841684007163,47868.78518633065
2025-11-03,49919.69463695529,3.787050673054182e-13,49919.69463695529
2025-11-04,46438.74329707354,99.14206493394451,46537.88536200748
2025-11-05,51859.31468215863,5.333689045983192e-13,51859.31468215863
